,,,"Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)","Alcohol, recorded per capita (15+) consumption (in litres of pure alcohol)"
"Chile","Data source","Spirits","2.43","2.43","2.43","2.43","2.43","2.28","2.19","3.15","2.00","2.10"
"China","Data source","Wine","0.18","0.19","0.20","0.20","0.19","","","","",""
"China","Data source","All types","4.48","4.77","5.25","5.63","5.66","5.65","5.62","5.52","5.36","5.75"
"China","Data source","Beer","1.66","1.66","1.66","1.68","1.73","1.86","1.88","1.82","1.75","1.67"
"China","Data source","Wine","","","","","","0.18","0.20","0.20","0.18","0.17"
"China","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"China","Data source","Spirits","2.63","2.92","3.39","3.75","3.74","3.61","3.54","3.50","3.43","3.91"
"Colombia","Data source","Wine","0.06","0.06","0.06","0.06","0.05","0.05","0.05","0.05","0.05","0.05"
"Colombia","Data source","Other alcoholic beverages","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02","0.02"
"Colombia","Data source","Spirits","0.92","1.04","1.08","1.16","0.90","1.09","1.19","1.23","1.26","1.28"
"Colombia","Data source","All types","4.09","4.21","4.20","4.46","4.16","4.22","4.32","4.37","4.30","4.22"
"Colombia","Data source","Beer","3.09","3.09","3.05","3.22","3.20","3.06","3.05","3.07","2.97","2.87"
"Comoros","Data source","Wine","0.07","0.07","0.07","0.06","0.03","0.05","0.06","0.04","0.04","0.03"
"Comoros","Data source","Other alcoholic beverages","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"Comoros","Data source","Spirits","0.07","0.07","0.07","0.05","0.07","0.05","0.11","0.04","0.05","0.07"
"Comoros","Data source","All types","0.18","0.18","0.18","0.15","0.14","","","","",""
"Comoros","Data source","All types","","","","","","0.13","0.23","0.11","0.11","0.13"
"Comoros","Data source","Beer","0.04","0.04","0.04","0.04","0.04","0.03","0.06","0.03","0.02","0.03"
"Congo","Data source","Wine","0.10","0.05","0.07","0.13","0.13","0.12","0.18","0.23","0.15","0.22"
"Congo","Data source","Other alcoholic beverages","0.01","0.01","0.01","0.02","0.02","0.03","0.02","0.02","0.02","0.02"
"Congo","Data source","All types","5.74","5.64","5.80","5.70","4.47","4.52","4.43","4.40","4.19","4.02"
